Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.3686072181791922
75% Corpus,2,0.01,0.31,0.3957115309194173
75% Corpus,2,0.01,0.61,0.3844966956080038
75% Corpus,2,0.01,0.9099999999999999,0.38414280675126067
75% Corpus,2,0.01,symmetric,0.38414280675126067
75% Corpus,2,0.31,0.01,0.38010133720442263
75% Corpus,2,0.31,0.31,0.3801013372044227
75% Corpus,2,0.31,0.61,0.38010133720442263
75% Corpus,2,0.31,0.9099999999999999,0.39277549248328075
75% Corpus,2,0.31,symmetric,0.38010133720442263
75% Corpus,2,0.61,0.01,0.36346408915215894
75% Corpus,2,0.61,0.31,0.3527696652225979
75% Corpus,2,0.61,0.61,0.3625620741178811
75% Corpus,2,0.61,0.9099999999999999,0.3501079473461355
75% Corpus,2,0.61,symmetric,0.3527696652225979
75% Corpus,2,0.9099999999999999,0.01,0.36060663710087876
75% Corpus,2,0.9099999999999999,0.31,0.3563607044273618
75% Corpus,2,0.9099999999999999,0.61,0.36637182119374645
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.3647560408084415
75% Corpus,2,0.9099999999999999,symmetric,0.3563607044273618
75% Corpus,2,symmetric,0.01,0.36346408915215894
75% Corpus,2,symmetric,0.31,0.38010133720442263
75% Corpus,2,symmetric,0.61,0.38010133720442263
75% Corpus,2,symmetric,0.9099999999999999,0.38010133720442263
75% Corpus,2,symmetric,symmetric,0.38010133720442263
75% Corpus,2,asymmetric,0.01,0.46035349974785944
75% Corpus,2,asymmetric,0.31,0.4513034026540619
75% Corpus,2,asymmetric,0.61,0.47834651695366937
75% Corpus,2,asymmetric,0.9099999999999999,0.38445839479564065
75% Corpus,2,asymmetric,symmetric,0.4673167449385916
75% Corpus,3,0.01,0.01,0.3549343250961427
75% Corpus,3,0.01,0.31,0.3747865137756894
75% Corpus,3,0.01,0.61,0.3665327831251786
75% Corpus,3,0.01,0.9099999999999999,0.3831262980017623
75% Corpus,3,0.01,symmetric,0.3747865137756894
75% Corpus,3,0.31,0.01,0.40217672550859945
75% Corpus,3,0.31,0.31,0.3778766695954863
75% Corpus,3,0.31,0.61,0.3888023382200266
75% Corpus,3,0.31,0.9099999999999999,0.3954067250756636
75% Corpus,3,0.31,symmetric,0.3778766695954863
75% Corpus,3,0.61,0.01,0.350007580558219
75% Corpus,3,0.61,0.31,0.3517843979873003
75% Corpus,3,0.61,0.61,0.34577693633577805
75% Corpus,3,0.61,0.9099999999999999,0.3622995001268407
75% Corpus,3,0.61,symmetric,0.3517843979873003
75% Corpus,3,0.9099999999999999,0.01,0.35585732027903366
75% Corpus,3,0.9099999999999999,0.31,0.3385742707834443
75% Corpus,3,0.9099999999999999,0.61,0.33902410585745385
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.3419315091232597
75% Corpus,3,0.9099999999999999,symmetric,0.3385742707834443
75% Corpus,3,symmetric,0.01,0.3801750073999332
75% Corpus,3,symmetric,0.31,0.3707330486030697
75% Corpus,3,symmetric,0.61,0.3689218415448639
75% Corpus,3,symmetric,0.9099999999999999,0.38954110415274146
75% Corpus,3,symmetric,symmetric,0.3707330486030697
75% Corpus,3,asymmetric,0.01,0.40814586093111277
75% Corpus,3,asymmetric,0.31,0.4981105935959002
75% Corpus,3,asymmetric,0.61,0.6450145553760607
75% Corpus,3,asymmetric,0.9099999999999999,0.7231988972512847
75% Corpus,3,asymmetric,symmetric,0.5018211138218128
75% Corpus,4,0.01,0.01,0.3589606281659638
75% Corpus,4,0.01,0.31,0.39118480759838825
75% Corpus,4,0.01,0.61,0.3932767190167654
75% Corpus,4,0.01,0.9099999999999999,0.37834428687603905
75% Corpus,4,0.01,symmetric,0.3597224569856013
75% Corpus,4,0.31,0.01,0.344030484009168
75% Corpus,4,0.31,0.31,0.3536828511931555
75% Corpus,4,0.31,0.61,0.37249844828930095
75% Corpus,4,0.31,0.9099999999999999,0.4228854860615142
75% Corpus,4,0.31,symmetric,0.35368285119315557
75% Corpus,4,0.61,0.01,0.36472164835122234
75% Corpus,4,0.61,0.31,0.3673951673627235
75% Corpus,4,0.61,0.61,0.3977996144945102
75% Corpus,4,0.61,0.9099999999999999,0.3743988649726195
75% Corpus,4,0.61,symmetric,0.35487236271484446
75% Corpus,4,0.9099999999999999,0.01,0.3725659065342488
75% Corpus,4,0.9099999999999999,0.31,0.3940080172713116
75% Corpus,4,0.9099999999999999,0.61,0.377366289829601
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.383417592472773
75% Corpus,4,0.9099999999999999,symmetric,0.3739123658867407
75% Corpus,4,symmetric,0.01,0.35356613405337234
75% Corpus,4,symmetric,0.31,0.35257477190148556
75% Corpus,4,symmetric,0.61,0.3622390251438492
75% Corpus,4,symmetric,0.9099999999999999,0.3928695669095614
75% Corpus,4,symmetric,symmetric,0.35257477190148556
75% Corpus,4,asymmetric,0.01,0.4074501230837402
75% Corpus,4,asymmetric,0.31,0.4119628054154386
75% Corpus,4,asymmetric,0.61,0.4560983738966069
